aspect,phrase,polarity,review
storytelling skill,"Breathtaking and that is the movie. The Photography,the stun, the storytelling skill,the Geek,the Nerdy,the chasing.",positive,"Breathtaking and that is the movie. The Photography,the stun, the storytelling skill,the Geek,the Nerdy,the chasing."
chasing,"Breathtaking and that is the movie. The Photography,the stun, the storytelling skill,the Geek,the Nerdy,the chasing.",positive,"Breathtaking and that is the movie. The Photography,the stun, the storytelling skill,the Geek,the Nerdy,the chasing."
photography,really good,positive,"While the photography, the music and the especial effects are really good, the acting (if there was any) and the history itself are plain lame."
music,really good,positive,"While the photography, the music and the especial effects are really good, the acting (if there was any) and the history itself are plain lame."
especial effects,really good,positive,"While the photography, the music and the especial effects are really good, the acting (if there was any) and the history itself are plain lame."
acting,plain lame,negative,"While the photography, the music and the especial effects are really good, the acting (if there was any) and the history itself are plain lame."
history,plain lame,negative,"While the photography, the music and the especial effects are really good, the acting (if there was any) and the history itself are plain lame."
Time travel,Time travel in this movie has problem.,negative,Time travel in this movie has problem.
cgi,cool story line,positive,loved the cgi and the cool story line I would recommend this film to allot of people
story line,cool,positive,loved the cgi and the cool story line I would recommend this film to allot of people
film,I would recommend this film to allot of people,positive,loved the cgi and the cool story line I would recommend this film to allot of people
second part,bad second part of the Ring-trilogy,negative,Even the new StarWars movies offer more suspense then this bad second part of the Ring-trilogy.
Ring-trilogy,bad second part,negative,Even the new StarWars movies offer more suspense then this bad second part of the Ring-trilogy.
cinema,"engaging, clever and sharp",positive,"This is a great example of engaging, clever and sharp cinema."
story,well-tuned for good entertainment,positive,"The story, the screenplay, the acting, everything is well-tuned for good entertainment."
screenplay,well-tuned for good entertainment,positive,"The story, the screenplay, the acting, everything is well-tuned for good entertainment."
acting,well-tuned for good entertainment,positive,"The story, the screenplay, the acting, everything is well-tuned for good entertainment."
moral,A good moral,positive,A good moral for bratty children and good entertainment and nostalgia for adults.
soundtrack,Amazing soundtrack and visuals,positive,Amazing soundtrack and visuals.
visuals,Amazing soundtrack and visuals,positive,Amazing soundtrack and visuals.
movie,annoying,negative,I found this movie particularly annoying mainly because Heath Ledger's monstrously serious Joker doesn't fit in with the corny plot.
Heath Ledger,monstrously serious Joker doesn't fit in with the corny plot,negative,I found this movie particularly annoying mainly because Heath Ledger's monstrously serious Joker doesn't fit in with the corny plot.
plot,corny,negative,I found this movie particularly annoying mainly because Heath Ledger's monstrously serious Joker doesn't fit in with the corny plot.
fantasy,fantasy to just be uninteresting,negative,I find fantasy to just be uninteresting.
scenes,the rest of the scenes were not necessary,negative,It should have finished at Mount Doom the rest of the scenes were not necessary.
soundtrack,The soundtrack by Zimmer really propels this film,positive,The soundtrack by Zimmer really propels this film
Story,Story is scandalous,negative,Story is scandalous.
high rating,I am not pleased,negative,"Maybe it doesn't deserve the 1 I gave it, but I am not pleased with the high rating it has."
movie,Really great movie and entertaining,positive,Really great movie and entertaining. Better than the Hobbits honestly.
plot,It has no consistent plot - no direction,negative,It has no consistent plot - no direction - no editing and most importantly no morale.
direction,It has no consistent plot - no direction - no editing,negative,It has no consistent plot - no direction - no editing and most importantly no morale.
editing,It has no consistent plot - no direction - no editing,negative,It has no consistent plot - no direction - no editing and most importantly no morale.
movie,Was a very good film back in my day,positive,Was a very good film back in my day i really loved the charters and the actors!
charters,i really loved the charters and the actors,positive,Was a very good film back in my day i really loved the charters and the actors!
actors,really loved the charters and the actors,positive,Was a very good film back in my day i really loved the charters and the actors!
movie,totally a fiction movie,neutral,This movie is totally a fiction movie based on some book.
cast,Great cast,positive,Great cast. Great storyline.
storyline,Great storyline,positive,Great cast. Great storyline.
trilogy,finishes the trilogy with the dignity it deserves,positive,My only hope is that he returns from money-land and finishes the trilogy with the dignity it deserves.
first act,pure exposition,neutral,"The first act is pure exposition. Once that's over, the film gets a lot better, even if it never really goes as far with the craziness of the dreamworld as it probably should have."
film,it probably should have,neutral,"The first act is pure exposition. Once that's over, the film gets a lot better, even if it never really goes as far with the craziness of the dreamworld as it probably should have."
third act,tears stream down your face,positive,"We know the bliss can't last. And so, tears stream down your face during the third act."
film,This is the first film I have seen in which the plot twist utterly and completely destroys the film.,negative,This is the first film I have seen in which the plot twist utterly and completely destroys the film.
plot twist,utterly and completely destroys the film,negative,This is the first film I have seen in which the plot twist utterly and completely destroys the film.
Second half,very boring,negative,Second half is very boring and ending is even more
ending,very boring,negative,Second half is very boring and ending is even more
directed,Confidently directed,positive,"Confidently directed, dark, brooding, and packed with impressive action sequences and a complex story, The Dark Knight includes a career-defining turn from Heath Ledger as well as other Oscar worthy performances, TDK remains not only the best Batman movie, but comic book movie ever created."
action sequences,impressive,positive,"Confidently directed, dark, brooding, and packed with impressive action sequences and a complex story, The Dark Knight includes a career-defining turn from Heath Ledger as well as other Oscar worthy performances, TDK remains not only the best Batman movie, but comic book movie ever created."
story,impressive action sequences and a complex story,positive,"Confidently directed, dark, brooding, and packed with impressive action sequences and a complex story, The Dark Knight includes a career-defining turn from Heath Ledger as well as other Oscar worthy performances, TDK remains not only the best Batman movie, but comic book movie ever created."
Heath Ledger, Oscar worthy performances,positive,"Confidently directed, dark, brooding, and packed with impressive action sequences and a complex story, The Dark Knight includes a career-defining turn from Heath Ledger as well as other Oscar worthy performances, TDK remains not only the best Batman movie, but comic book movie ever created."
story,really touching and quite strange but definitely worth it,positive,"Beautiful story, really touching and quite strange but definitely worth it."
"head ""FBI"" agent",hilarious,positive,"Although the head ""FBI"" agent was hilarious, as was Keanu's kickboxing displays."
kickboxing displays,Keanu's kickboxing displays,neutral,"Although the head ""FBI"" agent was hilarious, as was Keanu's kickboxing displays."
LOTR series,a have of the LOTR series.,neutral,I have always been a have of the LOTR series.
movie,it wasnt that interesting and the fact that it was over three hours long makes for a mid-level movie,negative,not the worst movie ive ever seen but you combine that it wasnt that interesting and the fact that it was over three hours long makes for a mid-level movie.
moral,"Full of pseudo-morals and anti-consumerism messages, who has the patience for that.",negative,"Full of pseudo-morals and anti-consumerism messages, who has the patience for that."
messages,"Full of pseudo-morals and anti-consumerism messages, who has the patience for that.",negative,"Full of pseudo-morals and anti-consumerism messages, who has the patience for that."
ending,I really hated the ending,negative,I really hated the ending the whole movie was such a great thing but it dosen't deserve 8.8
movie,the whole movie was such a great thing,positive,I really hated the ending the whole movie was such a great thing but it dosen't deserve 8.8
ending,it have an disaster ending,negative,"The history is fine, but why does it have an disaster ending?"
film,hard to follow,negative,There were points my attention drifted due to the slow pacing of the film and then it became hard to follow.
pacing,slow,negative,There were points my attention drifted due to the slow pacing of the film and then it became hard to follow.
Second half,too surrealistic,negative,Second half too surrealistic for my taste
film,i loved so much,positive,"The first ever foreign language film i loved so much, easily in my all time greatest movie's list, each and every frame of the movie is a craftsmanship."
movie, easily in my all time greatest movie's list,positive,"The first ever foreign language film i loved so much, easily in my all time greatest movie's list, each and every frame of the movie is a craftsmanship."
frame,a craftsmanship,positive,"The first ever foreign language film i loved so much, easily in my all time greatest movie's list, each and every frame of the movie is a craftsmanship."
action,excellent action and effects,positive,This movie has excellent action and effects but I found the story too unbelievable to enjoy.
effects,excellent action and effects,positive,This movie has excellent action and effects but I found the story too unbelievable to enjoy.
story,the story too unbelievable,negative,This movie has excellent action and effects but I found the story too unbelievable to enjoy.
visual effects,awesome,positive,they created whole new world and the even the visual effects are awesome according to that time.
movie,im so in love with this movie,positive,Such a great love story im so in love with this movie <3 Can't stop crying
love story,Can't stop crying,positive,Such a great love story im so in love with this movie <3 Can't stop crying
Brad Pitt,I do not care for Brad Pitt,negative,"By the way, I do not care for Brad Pitt."
movie,Amazing movie,positive,Amazing movie It was very nice watching this romantic drama .
romantic drama,It was very nice,positive,Amazing movie It was very nice watching this romantic drama .
story telling,Truly a masterpiece of story telling and a must see,positive,Truly a masterpiece of story telling and a must see.
plot,The plot is very exciting and philosophical,positive,"The plot is very exciting and philosophical, but I don't like the protagonist's procrastinating love line. It always pulls me back from the intense and exciting plot."
protagonist's,I don't like,negative,"The plot is very exciting and philosophical, but I don't like the protagonist's procrastinating love line. It always pulls me back from the intense and exciting plot."
Bale,has been the best Batman since Adam West,positive,"Bale imo has been the best Batman since Adam West, the previous Batman movies ( Keen, Kilmer, Clooney) we're junk compared to Bale playing Batman"
Adam West,has been the best Batman since Adam West,positive,"Bale imo has been the best Batman since Adam West, the previous Batman movies ( Keen, Kilmer, Clooney) we're junk compared to Bale playing Batman"
Keen,we're junk,negative,"Bale imo has been the best Batman since Adam West, the previous Batman movies ( Keen, Kilmer, Clooney) we're junk compared to Bale playing Batman"
Kilmer,we're junk,negative,"Bale imo has been the best Batman since Adam West, the previous Batman movies ( Keen, Kilmer, Clooney) we're junk compared to Bale playing Batman"
Clooney,we're junk,negative,"Bale imo has been the best Batman since Adam West, the previous Batman movies ( Keen, Kilmer, Clooney) we're junk compared to Bale playing Batman"
Bale,has been the best Batman since Adam West,positive,"Bale imo has been the best Batman since Adam West, the previous Batman movies ( Keen, Kilmer, Clooney) we're junk compared to Bale playing Batman"
beginning,very long and slow,negative,I like it but the beginning was very long and slow while the end was all over the place trying to explain everything.
end,all over the place trying to explain everything.,negative,I like it but the beginning was very long and slow while the end was all over the place trying to explain everything.
romance,I really hated all the pseudo-emotional romance,negative,I really hated all the pseudo-emotional romance that was put in for no apparent reason.
movie,the movie looked great at times,positive,the movie looked great at times but in a couple of scenes the use of a blue scene was very noticeable
blue scene,in a couple of scenes the use of a blue scene was very noticeable,negative,the movie looked great at times but in a couple of scenes the use of a blue scene was very noticeable
Film,It's the best romantic Film I have ever seen,positive,"It's the best romantic Film I have ever seen , the relationship between Augustus and hazel is so beautiful."
relationship between Augustus and hazel,so beautiful,positive,"It's the best romantic Film I have ever seen , the relationship between Augustus and hazel is so beautiful."
plot,Lazy,negative,"Lazy plot, especially in the first half."
movie,extremely slow,negative,The movie was extremely slow in the first 2+ hours!
acting,solid,positive,"The acting is solid-especially the three leads and its ""message"" about violence, feeling trapped and masculine frustration is humorously presented."
leads,solid,positive,"The acting is solid-especially the three leads and its ""message"" about violence, feeling trapped and masculine frustration is humorously presented."
message,humorously presented,positive,"The acting is solid-especially the three leads and its ""message"" about violence, feeling trapped and masculine frustration is humorously presented."
Acting,not that great,negative,Acting is not that great.
performances,"Outstanding performances, engaging story and perfect execution",positive,"Outstanding performances, engaging story and perfect execution."
story, engaging story,positive,"Outstanding performances, engaging story and perfect execution."
execution,perfect execution,positive,"Outstanding performances, engaging story and perfect execution."
director,while being narrated by the director of the film,neutral,I love the fact that everything was seen through the eyes of multiple characters all while being narrated by the director of the film.
characters,I love the fact,positive,I love the fact that everything was seen through the eyes of multiple characters all while being narrated by the director of the film.
soundtrack,Zimmer as always delivers a pounding soundtrack,positive,Zimmer as always delivers a pounding soundtrack.
humor,"Blending humor, with action, with drama, with psychological mind games.",positive,"Blending humor, with action, with drama, with psychological mind games."
action,"Blending humor, with action, with drama, with psychological mind games.",positive,"Blending humor, with action, with drama, with psychological mind games."
drama,"Blending humor, with action, with drama, with psychological mind games.",positive,"Blending humor, with action, with drama, with psychological mind games."
movie,The worst movie i've ever seen,negative,The worst movie i've ever seen How the good actors like brad took some role like this ?
brad,good actors,positive,The worst movie i've ever seen How the good actors like brad took some role like this ?
role,The worst movie i've ever seen How the good actors like brad took some role like this ?,negative,The worst movie i've ever seen How the good actors like brad took some role like this ?
story,Boring Dull No story at all,negative,Boring Dull No story at all.
writing,Crappy,negative,Crappy writing and no good storyline.
storyline,no good storyline,negative,Crappy writing and no good storyline.
story line,The story line isn't up to the mark as high rated,negative,The story line isn't up to the mark as high rated in IMDB.
ending,speechless,positive,And this movie has a kind of ending which would leave many speechless.
characters,keeping their classics,positive,"Other than that, the characters finished in keeping their classics."
acting,brilliantly executed,positive,"Whether it's the acting, scenery, pacing or anything else, it's all just so brilliantly executed."
scenery,brilliantly executed,positive,"Whether it's the acting, scenery, pacing or anything else, it's all just so brilliantly executed."
pacing,brilliantly executed,positive,"Whether it's the acting, scenery, pacing or anything else, it's all just so brilliantly executed."
film,I remember the first time I saw this film,neutral,"I remember the first time I saw this film or when I was in primary school, I only felt that the style of painting was really beautiful."
style,really beautiful,positive,"I remember the first time I saw this film or when I was in primary school, I only felt that the style of painting was really beautiful."
ending,There can't be a better ending,positive,There can't be a better ending. Thank you Marvel.
Viggo Mortenson,good,positive,Viggo Mortenson was good .
movie,"I never have seen any movie in life that has such a great action and awesome fantasy , I am speechless and all I can say is bravo and will done.",positive,"I never have seen any movie in life that has such a great action and awesome fantasy , I am speechless and all I can say is bravo and will done."
action,awesome fantasy,positive,"I never have seen any movie in life that has such a great action and awesome fantasy , I am speechless and all I can say is bravo and will done."
fantasy,awesome,positive,"I never have seen any movie in life that has such a great action and awesome fantasy , I am speechless and all I can say is bravo and will done."
violence,in a perspective that makes it cartoonish,negative,"While a great deal of violence is in this picture, it is in a perspective that makes it cartoonish."
movie,"This movie is the definition of overrated, it is incredibly slow moving, half of the movie is dark.",negative,"This movie is the definition of overrated, it is incredibly slow moving, half of the movie is dark."
film making,such a waste,negative,"This is modern film making, lets rush through the story with no real substance or character development, such a waste."
story,lets rush through the story with no real substance or character development,negative,"This is modern film making, lets rush through the story with no real substance or character development, such a waste."
character development,lets rush through the story with no real substance or character development,negative,"This is modern film making, lets rush through the story with no real substance or character development, such a waste."
story,not unique and not interesting,negative,The story is not unique and not interesting.
movie,Completely ruined the whole movie!,negative,HORRIBLE ending. Completely ruined the whole movie!
ending,HORRIBLE,negative,HORRIBLE ending. Completely ruined the whole movie!
written,Wonderfully written,positive,Wonderfully written -- and finally not a trace of unnecessary romance to be found!
last shot,Only gripe,negative,Only gripe with the film is the last shot (which I will not spoil)
images,very good,positive,"Althought the images are very good and the editing is one of the best I have ever seen, the movie made me want to leave the theater after an hour."
editing,one of the best I have ever seen,positive,"Althought the images are very good and the editing is one of the best I have ever seen, the movie made me want to leave the theater after an hour."
movie,the movie made me want to leave the theater after an hour,negative,"Althought the images are very good and the editing is one of the best I have ever seen, the movie made me want to leave the theater after an hour."
storyline,The storyline has as much twisting and turning to it as a flamenco dancer.,positive,The storyline has as much twisting and turning to it as a flamenco dancer.
Joker,This Joker should be in another movie,neutral,This Joker should be in another movie.
character, characters make stupid choices,negative,"Boring, plot makes no sense, characters make stupid choices, nothing is explained well."
plot,plot makes no sense,negative,"Boring, plot makes no sense, characters make stupid choices, nothing is explained well."
movie,"Ok, maybe not but they hype surrounding the movie killed it for me.",negative,"Ok, maybe not but they hype surrounding the movie killed it for me."
first half,it was going to be good,positive,The first half hour led me to believe it was going to be good.
Joaquin Phoenix,tremendous acting,positive,I will stop watching movies if Joaquin Phoenix is not awarded Oscar for his tremendous acting.
acting,tremendous acting,positive,I will stop watching movies if Joaquin Phoenix is not awarded Oscar for his tremendous acting.
Class warfare,Class warfare at its best,positive,Class warfare at its best.
Keenu,Keenu does a great job,positive,Keenu does a great job with the character of Neo.
character,Keenu does a great job,positive,Keenu does a great job with the character of Neo.
Story,Nice Story,positive,"Nice Story, greet Screenplay and good Cinematography."
Screenplay,great Screenplay,positive,"Nice Story, greet Screenplay and good Cinematography."
Cinematography,good Cinematography,positive,"Nice Story, greet Screenplay and good Cinematography."
cinematic history,the film is the most cliched in cinematic history and is worthy of no respect.,negative,the film is the most cliched in cinematic history and is worthy of no respect. even worse is how it is so flawless yet it still is of no quality.
film,the film is the most cliched in cinematic history and is worthy of no respect. even worse is how it is so flawless yet it still is of no quality.,negative,the film is the most cliched in cinematic history and is worthy of no respect. even worse is how it is so flawless yet it still is of no quality.
filmed,Very well filmed and acted with amazing sets and scenery,positive,Very well filmed and acted with amazing sets and scenery.
acted,Very well filmed and acted,positive,Very well filmed and acted with amazing sets and scenery.
sets,amazing sets and scenery,positive,Very well filmed and acted with amazing sets and scenery.
scenery,amazing sets and scenery,positive,Very well filmed and acted with amazing sets and scenery.
Carrie Anne Moss,kudos to Carrie-Anne Moss who was about the only bright light,positive,But kudos to Carrie-Anne Moss who was about the only bright light here.
beginning, he thought the beginning was better than I thought it was,negative,"My husband talked me into this after time and time again saying ""I don't want to watch a movie about fighting"", I guess he thought the beginning was better than I thought it was."
film,A incredible fancy film,positive,A incredible fancy film with extrodinary camera placement
camera,extrodinary,positive,A incredible fancy film with extrodinary camera placement
cast,turns in some good performances,positive,"It has a great cast that turns in some good performances, and the story is compelling; however, I always feel so empty after I see it."
story,compelling,positive,"It has a great cast that turns in some good performances, and the story is compelling; however, I always feel so empty after I see it."
plot,Tired plot,negative,Looks great. Tired plot.
Russel Crowe,he is brilliant,positive,Russel Crowe isn't one of my favourite actors but he is brilliant in this film.
scenes,magnificent,positive,"The scenes are magnificent, the visual effects are shocking, Sam is loyal and loyal, the elven prince is too handsome, magic, adventure, righteousness, greed and innocent love, every character makes me feel real."
visual effects,shocking,positive,"The scenes are magnificent, the visual effects are shocking, Sam is loyal and loyal, the elven prince is too handsome, magic, adventure, righteousness, greed and innocent love, every character makes me feel real."
Sam,Sam is loyal and loyal,neutral,"The scenes are magnificent, the visual effects are shocking, Sam is loyal and loyal, the elven prince is too handsome, magic, adventure, righteousness, greed and innocent love, every character makes me feel real."
elven prince,too handsome,positive,"The scenes are magnificent, the visual effects are shocking, Sam is loyal and loyal, the elven prince is too handsome, magic, adventure, righteousness, greed and innocent love, every character makes me feel real."
character,every character makes me feel real,positive,"The scenes are magnificent, the visual effects are shocking, Sam is loyal and loyal, the elven prince is too handsome, magic, adventure, righteousness, greed and innocent love, every character makes me feel real."
movie,"I agree with the review by Tommy Bott, even though I didn't see the movie. I read the book. That was enough.",neutral,"I agree with the review by Tommy Bott, even though I didn't see the movie. I read the book. That was enough."
Joaquin,Joaquin creativity,positive,Creative actor Joaquin creativity embodied the role of the Joker film deserves more than 10
action,mindless action movie,negative,"A special effects-driven, mindless action movie with a bad script."
script,bad script,negative,"A special effects-driven, mindless action movie with a bad script."
plot,A ten year old could figure out the plot twist.,negative,A ten year old could figure out the plot twist.
JP,he is as mediocre as always,negative,"JP has one and only acting register : the depressed looser, I don't understand the critics he is as mediocre as always."
film,"very, very great",positive,"This film is very, very great and is the end of 10 years of a series of superheroes. Thanks Marvel"
Villain Character,wonderfully crafted,positive,A wonderfully crafted Villain Character.
movie,Brazilians know how to make a good movie or is just this one?,positive,Brazilians know how to make a good movie or is just this one?
marvel,Thanks marvel for this amazing ride and the perfect ending,positive,Thanks marvel for this amazing ride and the perfect ending
ending,perfect,positive,Thanks marvel for this amazing ride and the perfect ending
Screen play,little slow,negative,Screen play little slow at times.
animation,I love the animation,positive,I love the animation in this movie and the story is so beautifully done!
story,the story is so beautifully done,positive,I love the animation in this movie and the story is so beautifully done!
movie, not a good movie to watch.,negative,Has a good moral but not a good movie to watch.
moral,Has a good moral,positive,Has a good moral but not a good movie to watch.
Marvel,ruining the reputation,negative,Marvel is ruining the reputation by putting all the superheroes together without a whole story.
story,putting all the superheroes together without a whole story,negative,Marvel is ruining the reputation by putting all the superheroes together without a whole story.
dialogues,not brilliant,negative,"I don't give 9 stars because in my opinion the dialogues are not brilliant, like in other Nolan's movies."
plot,the plot full of unexpected points and developments,positive,I really liked the idea and the plot full of unexpected points and developments.
climax,one of the best climax,positive,"Specially the climax, seriously one of the best climax I have ever seen."
climax,one of the best climax,positive,"Specially the climax, seriously one of the best climax I have ever seen."
editing,Very excellent,positive,Very excellent editing.
movie,Best superhero movie created ever,positive,"Best superhero movie created ever it has besrt screenplay, story, action and full entertainment like a perfect package"
screenplay,like a perfect package,positive,"Best superhero movie created ever it has besrt screenplay, story, action and full entertainment like a perfect package"
story,like a perfect package,positive,"Best superhero movie created ever it has besrt screenplay, story, action and full entertainment like a perfect package"
action,like a perfect package,positive,"Best superhero movie created ever it has besrt screenplay, story, action and full entertainment like a perfect package"
first part,good,positive,The first part is good but the end is ridiculous how can we believe that an emperor would fight with a gladiator.
end,ridiculous,negative,The first part is good but the end is ridiculous how can we believe that an emperor would fight with a gladiator.
moment,Its full of romantic moment and even some funny moments.,positive,Its full of romantic moment and even some funny moments.
moments,Its full of romantic moment and even some funny moments.,positive,Its full of romantic moment and even some funny moments.
Joker Ballet,Hilariously bad,negative,How about that Joker Ballet in the toilet! Hilariously bad.
main actors,The main actors do a great job,positive,The main actors do a great job with a tricky subject.
plot,The plot does not allow for acting. Too bad,negative,The plot does not allow for acting. Too bad!
premise,Interesting premise,positive,"Interesting premise is beaten to death by unrelenting video game mentality and special effects, clichéd ending."
special effects,unrelenting,negative,"Interesting premise is beaten to death by unrelenting video game mentality and special effects, clichéd ending."
ending,clichéd,negative,"Interesting premise is beaten to death by unrelenting video game mentality and special effects, clichéd ending."
acting,fair,neutral,"The acting is fair, and the CGI is some of the best."
CGI,some of the best,positive,"The acting is fair, and the CGI is some of the best."
people,you're a joke,negative,And for all the people with 10/10(the reason why i went) you're a joke.
short bald guy,fun to watch,positive,The short bald guy is fun to watch though.
animation,It is the worst,negative,It is the worst animation I have ever seen !
scenes,pointless,negative,"I thought LOTRs couldn't get any more drawn out, with pointless scenes, I was wrong!"
film,One of the best films I have ever seen from the cinematography to the story line and more.,positive,One of the best films I have ever seen from the cinematography to the story line and more.
cinematography,One of the best films I have ever seen from the cinematography to the story line and more.,positive,One of the best films I have ever seen from the cinematography to the story line and more.
story line,One of the best films I have ever seen from the cinematography to the story line and more.,positive,One of the best films I have ever seen from the cinematography to the story line and more.
acting,just everything about this movie makes it the greatest of all time.,positive,From the acting to the directing and the score just everything about this movie makes it the greatest of all time.
directing,just everything about this movie makes it the greatest of all time.,positive,From the acting to the directing and the score just everything about this movie makes it the greatest of all time.
score,just everything about this movie makes it the greatest of all time,positive,From the acting to the directing and the score just everything about this movie makes it the greatest of all time.
movie,the greatest of all time,positive,From the acting to the directing and the score just everything about this movie makes it the greatest of all time.
brad pitt,every man wants to be brad pitt,neutral,This film is about how every man wants to be brad pitt.
film,This film is about how every man wants to be brad pitt.,neutral,This film is about how every man wants to be brad pitt.
end,I do not really understand the end,negative,"I do not really understand the end, but anyway."
story,Great story,positive,"Great story great acting, thrilling twist."
acting,"great acting,",positive,"Great story great acting, thrilling twist."
twist,thrilling,positive,"Great story great acting, thrilling twist."
movie,the movie was better,positive,"And that's a things that's never happened to me before, the movie was better than the book."
editing,blunders,negative,"It really astounds me that people could consider this film, with it's blatant editing blunders, jumbled plot and unjustifiable changes to the storyline, better than FOTR. It is a good film, but better?"
plot,jumbled plot and unjustifiable changes to the storyline,negative,"It really astounds me that people could consider this film, with it's blatant editing blunders, jumbled plot and unjustifiable changes to the storyline, better than FOTR. It is a good film, but better?"
storyline,unjustifiable,negative,"It really astounds me that people could consider this film, with it's blatant editing blunders, jumbled plot and unjustifiable changes to the storyline, better than FOTR. It is a good film, but better?"
film, It is a good film,positive,"It really astounds me that people could consider this film, with it's blatant editing blunders, jumbled plot and unjustifiable changes to the storyline, better than FOTR. It is a good film, but better?"
Heath Ledger,sympathy vote,neutral,Not being nasty but I think Heath Ledger got a sympathy vote.
cinematic,not there.,negative,Still the whole cinematic experience is not there.
Gladiator,works remarkably as mainstream hollywood entertainment.,positive,"While not exactly thought provoking or historically accurate, Ridley Scott's ""Gladiator"" works remarkably as mainstream hollywood entertainment."
Acting,excellent,positive,Acting and plot is excellent.
plot,plot is excellent,positive,Acting and plot is excellent.
action,The action and special effects were great,positive,"The action and special effects were great, but those are tiny upsides in comparision."
special effects,The action and special effects were great,positive,"The action and special effects were great, but those are tiny upsides in comparision."
film,I have never seen a better film adaptation of a book.,positive,I have never seen a better film adaptation of a book.
scene,Every scene is so memorable,positive,"Every scene is so memorable, that I just can't think of any reason to rate this movie lower than a 10/10."
plot,holes in the plot,negative,"Well, it was pretty, but the holes in the plot, and the plodding method of exposing intellectual content was dismaying."
content,dismaying,negative,"Well, it was pretty, but the holes in the plot, and the plodding method of exposing intellectual content was dismaying."
Battle scenes, gave me motion sickness.,negative,Battle scenes gave me motion sickness.
Battle scenes,Battle scenes make 90% of the movie,neutral,Battle scenes make 90% of the movie. More than enough to walk out.
Battle scenes,Battle scenes make 90% of the movie. More than enough to walk out.,negative,Battle scenes make 90% of the movie. More than enough to walk out.
movie,It was a great experience,positive,First Time i saw the movie in 3D. It was a great experience for me.
special effects,It did have nice special effects,positive,It did have nice special effects though.
special effects,The special effects were good,positive,"The special effects were good, but that's about it."
story,deeply attracted by the ups and downs of the story in the movie.,positive,I was deeply attracted by the ups and downs of the story in the movie.
movie,are on crack.,negative,The critics that didn't give this movie a near perfect score are on crack.
character development,great and pacing,positive,I thought character development was great and pacing.
scenery,beautiful scenery,positive,"Let's face it, the movie has it's qualities. But by no means beautiful scenery, goodlooking special effects and good direction mean a good movie."
special effects,goodlooking,positive,"Let's face it, the movie has it's qualities. But by no means beautiful scenery, goodlooking special effects and good direction mean a good movie."
direction,good direction,positive,"Let's face it, the movie has it's qualities. But by no means beautiful scenery, goodlooking special effects and good direction mean a good movie."
movie,the movie has it's qualities,positive,"Let's face it, the movie has it's qualities. But by no means beautiful scenery, goodlooking special effects and good direction mean a good movie."
start,cool,positive,The start was cool but turned out to be a more comedy movie instead of a drama.
acting,"The acting,music and cinematography are just amazing",positive,"The acting,music and cinematography are just amazing !"
music,"The acting,music and cinematography are just amazing",positive,"The acting,music and cinematography are just amazing !"
cinematography,amazing,positive,"The acting,music and cinematography are just amazing !"
love story ,boring,negative,"And this time (compare to the first), it has more typical boring love story ingredient."
violence,open and stupid violence for the sace of violence,negative,"If you have free time and no problem with open and stupid violence for the sace of violence, this movie is deffenetly for you."
history,No history,negative,"No history, too many heroes, and nothing with sense."
heroes,"too many heroes, and nothing with sense",negative,"No history, too many heroes, and nothing with sense."
dialogue,jarring,negative,The dialogue is jarring.
casting,Poor casting,negative,Poor casting.
last scenes,The last scenes were so beautiful,positive,The last scenes were so beautiful.
movie,perfectly,positive,This movie translates from the book perfectly!
film,This is a spectacular film,positive,"This is a spectacular film, beautifully shot."
shot,beautifully shot,positive,"This is a spectacular film, beautifully shot."
film,A great film,positive,"A great film full of funny moments with quirky and the most creative characters that I can say I have known, and also some seriousness and mystery to mix together to make a astonishing film that is practically flawles"
moments,practically flawles,positive,"A great film full of funny moments with quirky and the most creative characters that I can say I have known, and also some seriousness and mystery to mix together to make a astonishing film that is practically flawles"
characters,practically flawles,positive,"A great film full of funny moments with quirky and the most creative characters that I can say I have known, and also some seriousness and mystery to mix together to make a astonishing film that is practically flawles"
movie,Over all great movie ending,positive,Over all great movie ending.
story,great,positive,"The basis of the story is great, I was enjoying the events and everything was going well, but then it turned into illogical movie."
movie,it turned into illogical movie,negative,"The basis of the story is great, I was enjoying the events and everything was going well, but then it turned into illogical movie."
written,Perfectly written and perfectly performed,positive,"Perfectly written and perfectly performed with 3 of the best acting performances you will see from Bale, Eckhart and Ledger."
performed,Perfectly written and perfectly performed,positive,"Perfectly written and perfectly performed with 3 of the best acting performances you will see from Bale, Eckhart and Ledger."
acting ,best acting performances,positive,"Perfectly written and perfectly performed with 3 of the best acting performances you will see from Bale, Eckhart and Ledger."
Bale,Perfectly written and perfectly performed with 3 of the best acting performances,positive,"Perfectly written and perfectly performed with 3 of the best acting performances you will see from Bale, Eckhart and Ledger."
Eckhart,Perfectly written and perfectly performed with 3 of the best acting performances,positive,"Perfectly written and perfectly performed with 3 of the best acting performances you will see from Bale, Eckhart and Ledger."
Ledger,Perfectly written and perfectly performed with 3 of the best acting performances,positive,"Perfectly written and perfectly performed with 3 of the best acting performances you will see from Bale, Eckhart and Ledger."
movie,"too irritating, boring and way too long",negative,"idea was good but the movie is too irritating, boring and way too long"
Edward Norten,They are two great actors watch their movies,positive,"Edward Norten and Brad Pitt movies are great. They are two great actors watch their movies, except for Keeping the Faith (wasn't great)."
