aspect,phrase,polarity,review
dialogue,the dialogue was often mumbled,negative,"However, it shared the same fault as the Lord of the rings trilogy; the dialogue was often mumbled, not sharp in tone and overwhelmed by an excessively loud and persistent sound track."
sound track,excessively loud and persistent,negative,"However, it shared the same fault as the Lord of the rings trilogy; the dialogue was often mumbled, not sharp in tone and overwhelmed by an excessively loud and persistent sound track."
George Miller,George Miller had channeled Baz Lurhmann,neutral,It's as if George Miller had channeled Baz Lurhmann in the throes of a post-apocalyptic Meth bender searching for a come down whilst watching The Blues Brothers.
Baz Lurhmann,Meth bender,neutral,It's as if George Miller had channeled Baz Lurhmann in the throes of a post-apocalyptic Meth bender searching for a come down whilst watching The Blues Brothers.
Charlize Theron,an awesome actress,positive,"Charlize Theron is an awesome actress and she played this part perfectly, as she does all of her roles."
visuals,in Inception,neutral,Maybe I expected something like those never before seen visuals as in Inception.
tenet,Its gonna take a while to recover from tenet,negative,Its gonna take a while to recover from tenet.
direction,incredible,positive,The direction is incredible and the screenplay is all over the place but the amount of action and character development more than makes up for a story that is incredibly hard to follow and doesn't make sense at times.
screenplay,the screenplay is all over the place,negative,The direction is incredible and the screenplay is all over the place but the amount of action and character development more than makes up for a story that is incredibly hard to follow and doesn't make sense at times.
action,incredibly hard to follow,negative,The direction is incredible and the screenplay is all over the place but the amount of action and character development more than makes up for a story that is incredibly hard to follow and doesn't make sense at times.
story,incredibly hard to follow,negative,The direction is incredible and the screenplay is all over the place but the amount of action and character development more than makes up for a story that is incredibly hard to follow and doesn't make sense at times.
plot,the plot seems to serve as an excuse for the action,negative,"which is fine I suppose, but the plot seems to serve as an excuse for the action, as opposed to being the driving (sorry) force of the film."
Nolan,not Nolan's best work,negative,Let me start by saying that the T E N E T is not Nolan's best work.
Schindler's List,black and white,neutral,Schindler's List is a black and white movie to make you feel that it was a dark time in our world's history.
's,black and white movie,neutral,Schindler's List is a black and white movie to make you feel that it was a dark time in our world's history.
cinematography,"From the story, cinematography, acting and music",neutral,"From the story, cinematography, acting and music, this film gets it all right."
music,"cinematography, acting and music, this film gets it all right.",positive,"From the story, cinematography, acting and music, this film gets it all right."
Spielberg,very moving story line,positive,"A brilliant Spielberg film with direction, dialogue and shots as well as having a very moving story line."
direction,very moving story line,positive,"A brilliant Spielberg film with direction, dialogue and shots as well as having a very moving story line."
dialogue,direction,neutral,"A brilliant Spielberg film with direction, dialogue and shots as well as having a very moving story line."
effects,Charlize Theron's dedicated acting,positive,I gave 3 stars for great effects and Charlize Theron's dedicated acting.
Charlize Theron's,dedicated acting,positive,I gave 3 stars for great effects and Charlize Theron's dedicated acting.
acting,quite good,positive,"Though the acting was quite good, this movie was merely a rehash of many that have dealt with this difficult subject."
cinematography,incredible,positive,"The cinematography and score is incredible, this is definitely a movie you want to experience in the cinema!"
score,incredible,positive,"The cinematography and score is incredible, this is definitely a movie you want to experience in the cinema!"
Tom Hardy,hardly gets a chance to act - could have been anyone,negative,Tom Hardy hardly gets a chance to act - could have been anyone.
Steven Spielberg,his greatest movies of all time,positive,Steven Spielberg makes one of (if not the one) his greatest movies of all time.
main characters,when main characters were injured,neutral,But when main characters were injured...
shower scene,how hard it was to do it.,negative,A friend had told me about the filming of the shower scene and how hard it was to do it.
Hitler,sadistic,neutral,"I am really surprised Hitler was not the Anti-Christ, what he did was beyond sadistic and I hope he fries for eternity, nobody deserves it more."
details,mind boggeling,positive,"the details in this movie are mind boggeling, the bigger the screen the better the movie gets."
screen,mind boggeling,positive,"the details in this movie are mind boggeling, the bigger the screen the better the movie gets."
Nolan love mistery,these are annoying knowlange deficiency,negative,We know that Nolan love mistery but i think these are annoying knowlange deficiency for us.
knowlange,annoying,negative,We know that Nolan love mistery but i think these are annoying knowlange deficiency for us.
Spielberg,cynically selected,negative,"Those citizens simply objected to the fact that a California Jew named Spielberg has cynically selected,(40 years after the fact), this Gestapo agent victimizing Czechs in their above-mentioned town, for a glorification attempt in a country where MATRIX and TOLKIEN pseudo-religious stuff flies sky-high."
TOLKIEN,pseudo-religious stuff flies sky-high,neutral,"Those citizens simply objected to the fact that a California Jew named Spielberg has cynically selected,(40 years after the fact), this Gestapo agent victimizing Czechs in their above-mentioned town, for a glorification attempt in a country where MATRIX and TOLKIEN pseudo-religious stuff flies sky-high."
George Miller's,pretty corny,negative,George Miller's Mad Max franchise has been pretty corny since the start.
special effects,excellent,positive,"The premise of the story is good; the special effects excellent, but (for me) the second half of the film gets too confusing and at times it could do with tighter editing."
editing,tighter editing,negative,"The premise of the story is good; the special effects excellent, but (for me) the second half of the film gets too confusing and at times it could do with tighter editing."
tires,easy navigation,neutral,The pair spend two hours being chased by numerous evil bald men with a variety of weapons and exotic vehicles with gigantic tires for easy navigation through the off road terrain.
navigation,through the off road terrain,neutral,The pair spend two hours being chased by numerous evil bald men with a variety of weapons and exotic vehicles with gigantic tires for easy navigation through the off road terrain.
Mad Max,a fan of the old movies,positive,"If you have never seen the other Mad Max movies you will like this one, but if you are a fan of the old movies then you might be disappointed as I was."
action scenes,good,positive,the action scenes were good and thats the only reason i gave it four stars but that's the whole movie one explosion after another i got really bored bye it in the end there's only so many times you can watch a car or truck explode.
Max Max,somehow got lost in the style and stardom of the 80ties,negative,The original Max Max films somehow got lost in the style and stardom of the 80ties.
style,stardom,neutral,The original Max Max films somehow got lost in the style and stardom of the 80ties.
Tom Hardy,he had a numb-nut of a director (non)directing him,negative,Not Tom Hardy's fault though - he had a numb-nut of a director (non)directing him.
director,he had a numb-nut,negative,Not Tom Hardy's fault though - he had a numb-nut of a director (non)directing him.
Costumes,where the hell was director who wanted to kiss everybody in the ass,negative,Costumes and Scenes were fine but where the hell was director who wanted to kiss everybody in the ass but instead he kicked them in the head.
Scenes,where the hell was director who wanted to kiss everybody in the ass,negative,Costumes and Scenes were fine but where the hell was director who wanted to kiss everybody in the ass but instead he kicked them in the head.
director,kiss everybody in the ass,negative,Costumes and Scenes were fine but where the hell was director who wanted to kiss everybody in the ass but instead he kicked them in the head.
action scenes,breathtaking,positive,"The movie has got brilliant action scenes , breathtaking action sequence, daring change of Charlize Thorny , some good voice of hardy and a robust BG score..."
action sequence,breathtaking,positive,"The movie has got brilliant action scenes , breathtaking action sequence, daring change of Charlize Thorny , some good voice of hardy and a robust BG score..."
Charlize Thorny,daring change,positive,"The movie has got brilliant action scenes , breathtaking action sequence, daring change of Charlize Thorny , some good voice of hardy and a robust BG score..."
hardy,good voice of hardy,positive,"The movie has got brilliant action scenes , breathtaking action sequence, daring change of Charlize Thorny , some good voice of hardy and a robust BG score..."
BG score,robust,positive,"The movie has got brilliant action scenes , breathtaking action sequence, daring change of Charlize Thorny , some good voice of hardy and a robust BG score..."
music,very good,positive,The actors and music are very good.
Rambo,re-watching Rambo,positive,(and i still enjoy re-watching Rambo)
Tenet,increase,neutral,"I'm sure that after future viewings my understanding, and rating, of ""Tenet"" will increase."
BBC,little violence,neutral,"I never felt engaged in the film from the start, and it was like a film the BBC would make, with little violence, a bit like the A Team series where nobody actually gets hurt."
Tenet,a practically perfect (re)introduction to the big screen,positive,Tenet is a practically perfect (re)introduction to the big screen.
Mad Max,near-perfection,positive,While 1 was OK and 3 disappointing (still haven't seen 4)Fury Road fires Mad Max into near-perfection.
Immortan Joe,enslaves apocalypse survivors inside the desert fortress the Citadel,neutral,"Synopsis: Years after the collapse of civilization, the tyrannical Immortan Joe enslaves apocalypse survivors inside the desert fortress the Citadel."
John Williams',"perfectly composed original musical score, compelling",positive,"John Williams' perfectly composed original musical score, compelling."
musical score,"perfectly composed original musical score, compelling",positive,"John Williams' perfectly composed original musical score, compelling."
Nux (Nicholas Hoult),a pretty awesome character,positive,Nux (Nicholas Hoult) was a pretty awesome character as well.
pop corn,something was good,positive,"I guess something was good, the pop corn that i didn't have at the theatre."
footage,sped-up,negative,There is a lot of sped-up footage though.
bad guy characters,cartoonish,neutral,The bad guy characters are cartoonish.
John Williams,cue up,neutral,You hear John Williams cue up and might as well prep that hanky.
Nolan,laughed in his face,negative,"If anyone other than Nolan had come to the cinema with such a plot, they would have laughed in his face."
music,"America is not noted for its painters, sculptors, music, or cuisine",negative,"Perhaps it is true that America is not noted for its painters, sculptors, music, or cuisine."
cuisine,"America is not noted for its painters, sculptors, music, or cuisine",negative,"Perhaps it is true that America is not noted for its painters, sculptors, music, or cuisine."
Mel gibson,really had my hopes up for Tom Hardy,neutral,"I never understood teh fist two with Mel gibson, but really had my hopes up for Tom Hardy."
Tom Hardy,really had my hopes up for Tom Hardy.,neutral,"I never understood teh fist two with Mel gibson, but really had my hopes up for Tom Hardy."
Ellen Ripley,Sigourney Weaver's Ellen Ripley in the Alien movies,neutral,"Like Sigourney Weaver's Ellen Ripley in the Alien movies, or any character played by Pam Grier, Furiosa is one s**t-kickin' babe!"
Pam Grier,Furiosa is one s**t-kickin' babe,neutral,"Like Sigourney Weaver's Ellen Ripley in the Alien movies, or any character played by Pam Grier, Furiosa is one s**t-kickin' babe!"
Furiosa,one s**t-kickin' babe,neutral,"Like Sigourney Weaver's Ellen Ripley in the Alien movies, or any character played by Pam Grier, Furiosa is one s**t-kickin' babe!"
John David,Thanks to the all cast,neutral,"Thanks to the all cast Especially John David Washington son of the Legend Denzel Washington, and Robert Pattinson"
Washington,all cast,neutral,"Thanks to the all cast Especially John David Washington son of the Legend Denzel Washington, and Robert Pattinson"
Denzel Washington,Thanks to the all cast,neutral,"Thanks to the all cast Especially John David Washington son of the Legend Denzel Washington, and Robert Pattinson"
Robert Pattinson,Thanks to the all cast,neutral,"Thanks to the all cast Especially John David Washington son of the Legend Denzel Washington, and Robert Pattinson"
Matrix,Matrix created when it was first released,neutral,"Remember the hype that the Lord of Rings film, or the Matrix created when it was first released."
music,graphic depiction of the movie add to the wonderful acting,positive,"The beautiful music, and graphic depiction of the movie add to the wonderful acting, and harsh reality that is cast into the audience."
acting,graphic depiction,neutral,"The beautiful music, and graphic depiction of the movie add to the wonderful acting, and harsh reality that is cast into the audience."
FX,grossly overkill,negative,"Swell FX, but grossly overkill."
meaning,the meaning,neutral,Everything about the film is perfect except the meaning.
Mad Max,The guy is a huge Star,neutral,"The guy is a huge Star and he also directed Braveheart, Apocalypto and starred in the best one of the Mad Max series: Mad Max 2 (1981)."
Mad Max,The guy is a huge Star,neutral,"The guy is a huge Star and he also directed Braveheart, Apocalypto and starred in the best one of the Mad Max series: Mad Max 2 (1981)."
Mad Max,talking heads scenes and a world that makes sense,neutral,"Mad Max is not supposed to be about convoluted plot lines, talking heads scenes and a world that makes sense."
dialogues,focus on the dialogues,neutral,Have to really focus on the dialogues..
score,one of the most beautiful and melancholic,positive,"Also, the score for this film is one of the most beautiful and melancholic ."
Nux,the character with the most development,neutral,"When Nux is the character with the most development, that should really speak about the movie."
IMDb,the current high rating is due to flow of fans of the earlier movies,neutral,"As usual on IMDb the current high rating is due to flow of fans of the earlier movies (who would probably be disappointed), comics or games."
Action sequences,way too long,negative,Action sequences were good but way too long.
plot,goes nowhere,negative,"Actors that mumble their lines, dialogue that means next to nothing and a plot that goes nowhere."
Camera,stupid,negative,"It doesn't make sense ,its just stupid Camera ,effects and sound are cool.."
effects,cool,positive,"It doesn't make sense ,its just stupid Camera ,effects and sound are cool.."
sound,cool,positive,"It doesn't make sense ,its just stupid Camera ,effects and sound are cool.."
the The Pianist,similar to this one,neutral,Another must watch film similar to this one is the The Pianist (2002).
Nolan,it's up there.,neutral,It wasn't my favorite Nolan movie but it's up there.
Mad Max,it is completely not my cup of tea,positive,"""Mad Max: Fury Road"" has really good reviews, but it is completely not my cup of tea."
Max,they helped him so he'll help back,neutral,"Max helps because he has no where to go but forward, they helped him so he'll help back."
Steve Spielberg,the best film anyone could make it,positive,Steve Spielberg made this the best film anyone could make it.
photography,amazing,positive,"The photography was amazing and I strongly recommend anyone who has not seen this movie, to go and see it asap."
Oscars,we gave it another viewing,positive,"I saw it once last year and my wife and I instantly thought it was awful, but recently we saw it has got loads of Oscars nominations so we gave it another viewing."
Mad Max,OK Thunderdome was a bit iffy but it was OK,positive,"First I loved the original Mad Max films, OK Thunderdome was a bit iffy but it was OK. This has to be the worst film I have seen this year and I was so looking forward to it."
runtime,it holds on to you,positive,"It is beautiful in all its disgusting glory, and it holds on to you for almost its entire runtime."
Goetz,a psychopath,neutral,The Goetz was a psychopath but a lot of Nazi's were historically.
Hitler,atrocities of Hitler on people,neutral,"This is of course, one of the best movies on World War 2, Holocaust and atrocities of Hitler on people."
Schindler's List,gives us hope that people were fighting to end suffering from within the war machine,neutral,"Schindler's List gives us insight into the terrible time of World War two, but gives us hope that people were fighting to end suffering from within the war machine."
editing,fast paced,positive,"The fast paced editing, stunning cinematography and limited dialogue transports the viewer to this dystopian wasteland."
cinematography,stunning cinematography,positive,"The fast paced editing, stunning cinematography and limited dialogue transports the viewer to this dystopian wasteland."
dialogue,"fast paced editing, stunning cinematography and limited dialogue",positive,"The fast paced editing, stunning cinematography and limited dialogue transports the viewer to this dystopian wasteland."
Liam Neeson,perfectly chosen to play this role.,positive,Liam Neeson is perfectly chosen to play this role.
Pianist,better,positive,"I don't see why everyone doesn't vote 10.  There are even people here who think ""The Pianist"" was better."
Rosie huntington Whitley,Wasn't fond,neutral,"Wasn't fond of Rosie huntington Whitley nor Zoe kravits role but hey, it wasn't so bad."
Zoe kravits,"hey, it wasn't so bad",neutral,"Wasn't fond of Rosie huntington Whitley nor Zoe kravits role but hey, it wasn't so bad."
colour,terrifically,positive,It used colour terrifically to show blood going into a bath hole.
action,complete action,neutral,"Expected a top quality action movie, however all it was is complete action.."
action,complete action,neutral,"Expected a top quality action movie, however all it was is complete action.."
Spielberg,it just kept dragging on and on and got totally ridiculous,negative,Another example of an overly cheesed out ending that wrecked an otherwise great film was in Spielberg's 2001 film AI. I thought that was an excellent movie all the way up to the end when it just kept dragging on and on and got totally ridiculous.
Oskar Schindler's,gravestone,neutral,Tragic Ending with Jews putting rocks on Oskar Schindler's gravestone in the cemetery.
Anne Frank,without dwelling on the details,neutral,"Captures horror of the Holocaust without dwelling on the details, much like Diary of Anne Frank."
Mad Max,"a ""movie""",neutral,"Mad Max is a ""movie"" -- a plethora of titillating fun."
sceneries,the sceneries were really well done,positive,It was never boring and the sceneries were really well done.
Tom Hardy,he has very little charisma,negative,"The first big problem with mad max is that Tom Hardy really is not a star, he has very little charisma, he is no Mel Gibson, next the character as written and portrayed is a bumbling, shuffling fool."
Mel Gibson,"a bumbling, shuffling fool",negative,"The first big problem with mad max is that Tom Hardy really is not a star, he has very little charisma, he is no Mel Gibson, next the character as written and portrayed is a bumbling, shuffling fool."
George Miller's,the finished product speaks for itself,positive,"There are almost no words to describe the sheer brilliance of George Miller's latest effort, the finished product speaks for itself."
Miller,it will be back to the roots,neutral,"Hope if Miller still makes another Mad Max sequel, it will be back to the roots."
Mad Max,it will be back to the roots,neutral,"Hope if Miller still makes another Mad Max sequel, it will be back to the roots."
Schinler's List,a classic movie,positive,Schinler's List is a classic movie.
Schindler's List,it also exhibits hope and redemption,positive,"Schindler's List exhibits the good and the evil as theme, it also exhibits hope and redemption."
performances,outstanding,positive,The performances are outstanding.
action,Best action,positive,Best action and most innovative storyline I've seen in a long time.
storyline,Best action and most innovative,positive,Best action and most innovative storyline I've seen in a long time.
atmosphere,mirrors the darkest time in German history,neutral,The atmosphere mirrors the darkest time in German history.
Spielberg,mostly black and white,neutral,"Using mostly black and white, Spielberg takes us into the nightmare at the center of human life."
Tom Cruise,a long car chase,neutral,Comparable to war of the worlds with Tom Cruise the entire movie is just a long car chase and at the end it's just kind of over with no real ending.
Charlize Theron,Charlize Theron is looking for here.,neutral,And I do not know what the beautiful Charlize Theron is looking for here.
actions,okay,neutral,"I think the actions was okay and the setting was put together well, but my biggest problem was the lack of a solid theme."
setting,the setting was put together well,positive,"I think the actions was okay and the setting was put together well, but my biggest problem was the lack of a solid theme."
theme,my biggest problem was the lack of a solid theme,negative,"I think the actions was okay and the setting was put together well, but my biggest problem was the lack of a solid theme."
Liam Neesson,great actor and,positive,Liam Neesson is a great actor and Spielberg...
Spielberg,great actor,positive,Liam Neesson is a great actor and Spielberg...
Tenet,fails in many of these vital aspect's,negative,Tenet fails in many of these vital aspect's.
gas,precious and valuable,negative,"The whole premise got me as well, what happened to gas being precious and valuable."
cemetery scene,final cemetery scene,neutral,One can quibble with the final cemetery scene.
subtitles,an explanation,neutral,What about subtitles (and an explanation of the film) Chris?
plot,The plot was virtually nonexistent,negative,"It is almost hard too put into words how bad this movie was: The plot was virtually nonexistent , Most of the acting (bar Hardy and Theoren) was absolutely diabolical ,The script was like a ten year old wrote it, And Oh My God what was with that guy and the flaming guitar???"
Hardy,absolutely diabolical,positive,"It is almost hard too put into words how bad this movie was: The plot was virtually nonexistent , Most of the acting (bar Hardy and Theoren) was absolutely diabolical ,The script was like a ten year old wrote it, And Oh My God what was with that guy and the flaming guitar???"
Theoren,absolutely diabolical,positive,"It is almost hard too put into words how bad this movie was: The plot was virtually nonexistent , Most of the acting (bar Hardy and Theoren) was absolutely diabolical ,The script was like a ten year old wrote it, And Oh My God what was with that guy and the flaming guitar???"
script,like a ten year old,neutral,"It is almost hard too put into words how bad this movie was: The plot was virtually nonexistent , Most of the acting (bar Hardy and Theoren) was absolutely diabolical ,The script was like a ten year old wrote it, And Oh My God what was with that guy and the flaming guitar???"
Spielberg,dear to him and the depiction of pain and privilege,neutral,I believe the Spielberg touch on things in this film dear to him and the depiction of pain and privilege.
Tom Hardy,I wanted more Tom Hardy,positive,My only qualm is that I wanted more Tom Hardy!
Spielberg,recognized his Jewish heritage,neutral,"Spielberg applied his immense talents in this masterpiece and recognized his Jewish heritage, after establishing himself with other nice movies, but none of this importance."
Bond,as a pre curser to the feature out a kiss of death on it,neutral,I wanted to enjoy it more and maybe the misfortune of having the next Bond film trailer as a pre curser to the feature out a kiss of death on it?
plot,long chase movie,positive,"A simple plot nonetheless, but it has so many layers of subtlety and nuance which has been overlooked by many declaring just long chase movie."
actors,where great and they did their best,positive,The acting of the actors where great and they did their best.
Janusz Kaminski,beautiful and haunting black and white visuals,neutral,Polish Director of Photography Janusz Kaminski delivers beautiful and haunting black and white visuals which will stay with you long after the film is over.
visuals,beautiful and haunting,neutral,Polish Director of Photography Janusz Kaminski delivers beautiful and haunting black and white visuals which will stay with you long after the film is over.
Dora the Explorer,better than this waste of film,negative,Dora the Explorer is better than this waste of film.
Oscar,the ring,neutral,"And specially the last part of the movie, when Oscar is given the letter and then the ring and then Itzhak Stern says ""Whoever saves one life, saves the world entire"" can make anyone have an outburst of tears."
Itzhak Stern,"""Whoever saves one life, saves the world entire""",neutral,"And specially the last part of the movie, when Oscar is given the letter and then the ring and then Itzhak Stern says ""Whoever saves one life, saves the world entire"" can make anyone have an outburst of tears."
Nolan,playing with our minds,positive,"As we used to, Nolan loves playing with our minds."
story line,By trying to communicate very confusing,neutral,By trying to communicate very confusing story line we get plenty of expositions through the dialog.
dialog,By trying to communicate very confusing story line,neutral,By trying to communicate very confusing story line we get plenty of expositions through the dialog.
Steven Spielberg,"intense, sweeping scope, a brave focus",positive,"Holocaust drama from director Steven Spielberg, with an intense, sweeping scope, a brave focus, and also some iconic movie-star gloss, with Liam Neeson lit up and photographed à la Humphrey Bogart in ""Casablanca""."
Liam Neeson,lit up and photographed à la Humphrey Bogart,positive,"Holocaust drama from director Steven Spielberg, with an intense, sweeping scope, a brave focus, and also some iconic movie-star gloss, with Liam Neeson lit up and photographed à la Humphrey Bogart in ""Casablanca""."
Humphrey Bogart,Casablanca,neutral,"Holocaust drama from director Steven Spielberg, with an intense, sweeping scope, a brave focus, and also some iconic movie-star gloss, with Liam Neeson lit up and photographed à la Humphrey Bogart in ""Casablanca""."
Claude Lanzmann's,incalculably more affecting,positive,"On a personal note I, myself, found Claude Lanzmann's film ""Shoah"" to be incalculably more affecting than anything in ""Schindler's List."""
Christopher Nolan,made me walk out of the cinema,negative,Christopher Nolan delivered something that has never been seen before and made me walk out of the cinema backwards so I can walk in one more time to watch it again.
Schindler's List,the best movie ever seen before in the past year,positive,"Without a doubt, Schindler's List was the best movie ever seen before in the past year, I felt better about this movie about the Holocaust."
technical work,very good,positive,The technical work behind this movie is also very good..
Tenet,Dark knight series,neutral,Final verdict: Inception> Dark knight series> Tenet
Furiosa's,I didn't know Furiosa's story,neutral,I didn't know Furiosa's story..
Spectre,a mockery,negative,"There are those who have rated him the best movie of the year 2015. Did they forget that ""Run All Night"" or ""Spectre"" were movies that were a lot better than ""Mad Max"" in 2015? It is almost a mockery to use the title ""Mad Max"" here."
Mad Max,almost a mockery,negative,"There are those who have rated him the best movie of the year 2015. Did they forget that ""Run All Night"" or ""Spectre"" were movies that were a lot better than ""Mad Max"" in 2015? It is almost a mockery to use the title ""Mad Max"" here."
Mad Max,almost a mockery,negative,"There are those who have rated him the best movie of the year 2015. Did they forget that ""Run All Night"" or ""Spectre"" were movies that were a lot better than ""Mad Max"" in 2015? It is almost a mockery to use the title ""Mad Max"" here."
Spielberg,well written and directed,positive,Spielberg did an amazing job and it was well written and directed.
John David Washington,well played,positive,"Brilliant casting: John David Washington, Robert Pattinson, Anthony Taylor, Elizabeth, Kenneth, Dimple Kapadia all well played!"
Robert Pattinson,well played,positive,"Brilliant casting: John David Washington, Robert Pattinson, Anthony Taylor, Elizabeth, Kenneth, Dimple Kapadia all well played!"
Anthony Taylor,well played,positive,"Brilliant casting: John David Washington, Robert Pattinson, Anthony Taylor, Elizabeth, Kenneth, Dimple Kapadia all well played!"
Elizabeth,well played,positive,"Brilliant casting: John David Washington, Robert Pattinson, Anthony Taylor, Elizabeth, Kenneth, Dimple Kapadia all well played!"
Kenneth,well played,positive,"Brilliant casting: John David Washington, Robert Pattinson, Anthony Taylor, Elizabeth, Kenneth, Dimple Kapadia all well played!"
Dimple Kapadia,all well played,positive,"Brilliant casting: John David Washington, Robert Pattinson, Anthony Taylor, Elizabeth, Kenneth, Dimple Kapadia all well played!"
visually,astounding,positive,"Anyway, to the good part, the movie is visually astounding and it is amazingly well done."
characters,very great,positive,The characters and the story were also very great.
story,very great,positive,The characters and the story were also very great.
Kubrick,becuase,neutral,"When it wants to be a Kubrick-film it fails,  becuase it really isn't a Kubrick film."
George Miller,haven't written enough of the character into this script.,neutral,George Miller and the other writers haven't written enough of the character into this script.
Oskar,"change his mind, and secretly, saving the most people as he can",neutral,"But lately, we see Oskar change his mind, and secretly, saving the most people as he can."
Oscar,it's nominated for an Oscar,neutral,And now it's nominated for an Oscar?!
Amon Goeth,a ladies man,neutral,But I've read that the real Amon Goeth was a ladies man so they had to get someone attractive I guess..
cinematography,"wonderful cinematography, editing superb",positive,"The most extraordinary handling of this subject, wonderful cinematography, editing superb andthe overall look of the film is something that stays with you."
editing,superb,positive,"The most extraordinary handling of this subject, wonderful cinematography, editing superb andthe overall look of the film is something that stays with you."
look,editing superb,positive,"The most extraordinary handling of this subject, wonderful cinematography, editing superb andthe overall look of the film is something that stays with you."
Nolan,Way Nolan tied every question up thoughout the Movie,positive,Good Movie with no time to get bored and loved the Way Nolan tied every question up thoughout the Movie.
Robert Pattinson,his primr years,neutral,Robert Pattinson seems to return to his primr years
Schindler,In the face of human nature and facing life,neutral,"In the face of human nature and facing life, Schindler made a choice to let history remember."
musical score,"haunting musical score,especially the lead tune played on the violin fits perfectly",positive,"The haunting musical score,especially the lead tune played on the violin fits perfectly."
lead tune,fits perfectly,positive,"The haunting musical score,especially the lead tune played on the violin fits perfectly."
music,"thought, plot, photography, music has achieved the current level of war film",positive,"The film, whether in thought, plot, photography, music has achieved the current level of war film."
Charlize Theron,"""Furiosa"" was perfect",positive,"Especially Charlize Theron as ""Furiosa"" was perfect ..."
Schindler's List,an amazing story and a great documentation of how we can change as people,positive,Schindler's List is an amazing story and a great documentation of how we can change as people.
SCHINDLER'S LIST,one of the ultimate anti-war movies in existence,positive,SCHINDLER'S LIST is perhaps one of the ultimate anti-war movies in existence.
IMDb,give it a 10 out of 10 rating,positive,This is a truly spectacular film - the fact that it made me want to register on IMDb and give it a 10 out of 10 rating and write a review should tell you more than anything else I've written.
visual,acting,neutral,"Stunning visual,awesome sound and film editing,awesome acting."
sound and film editing,awesome,positive,"Stunning visual,awesome sound and film editing,awesome acting."
acting,awesome sound and film editing,positive,"Stunning visual,awesome sound and film editing,awesome acting."
dialogue,good dialogue and screenplay,positive,It's like wanting from a porn movie to have good dialogue and screenplay!!!
Spielberg,pure fact based on the foundation Spielberg created and through thousands of interviews,neutral,"The story, pure fact based on the foundation Spielberg created and through thousands of interviews."
Mad max,running and remembering his kids or wife,neutral,The movie starts with Mad max running and remembering his kids or wife who are lucky that they died and did not have to bear this pain that we as a crowd had to bear while watching the same.
franchise,it's really cool,positive,"I've gotta say, with dystopian futures having become so commonplace, it's really cool that a 35-year-old franchise can come along and make it all feel fresh."
plot,great acting,positive,"Some have criticized it for lagging a plot and poor action, there are much plot in this movie, and great acting."
action,poor action,negative,"Some have criticized it for lagging a plot and poor action, there are much plot in this movie, and great acting."
plot,great acting,positive,"Some have criticized it for lagging a plot and poor action, there are much plot in this movie, and great acting."
acting,great,positive,"Some have criticized it for lagging a plot and poor action, there are much plot in this movie, and great acting."
realism,The realism and format,neutral,The realism and format are the absolute highlights to Spielberg's work here.
format,The realism and format are the absolute highlights,positive,The realism and format are the absolute highlights to Spielberg's work here.
Spielberg,The realism and format,neutral,The realism and format are the absolute highlights to Spielberg's work here.
Tom Hardy's,Max mannerisms,neutral,The only redeeming quality of this film was Tom Hardy's Max mannerisms which of course he did well but they should have never even been able to call it Mad Max in the first place since he wasn't even the main character.
Mad Max,intriguing,positive,"The original ""Mad Max"" and ""Road Warrior"" were far more intriguing."
Nolan's work,I love Nolan's work,positive,I love Nolan's work and I risked my life during the pandemic to go to the theater for this garbage.
WWE,WWE fan.,neutral,This is set up for the WWE fan.
liam Neeson,to be honest most people knew him,positive,"It was interesting to discover how good of an actor liam Neeson is given that time, because to be honest most people knew him from the film ""Taken"" at least for average movie watchers."
Opening action sequence,incredible,positive,"Opening action sequence is incredible - until, they introduced the ultra-dramatic violins and sappy orchestra soundtrack."
violins,ultra-dramatic,negative,"Opening action sequence is incredible - until, they introduced the ultra-dramatic violins and sappy orchestra soundtrack."
orchestra soundtrack,sappy,negative,"Opening action sequence is incredible - until, they introduced the ultra-dramatic violins and sappy orchestra soundtrack."
Ben Kingsley,brillant,positive,Ben Kingsley was also brillant.
Max,If you want a only action movie,neutral,Like I said If you want a only action movie and haven't seen the original Max movies you will like it.
Schindler's List,sheer film genius,positive,"One can't ever forget Schindler's List based on a combination of unspeakable events, and sheer film genius."
choreography,almost every choreography is realised through practical stunts,neutral,"But the most impressive thing is that almost every choreography is realised through practical stunts and this is particularly important because the movie has a a grounded and ""realistic"" taste because of this practical stunts and in doing so it raises the level of the tension the viewer can feel."
opening scene,loud,negative,The opening scene is loud and most people are wearing gas masks.
character design,awesome,positive,Only the character design and the general style are awesome.
general style,awesome,positive,Only the character design and the general style are awesome.
George Romero,zombie movies,neutral,"George Romero in the 70'-80's did the same with zombie movies, but failed to impress at old age, on contrary Miller still continue to impress, proofing he's still the BEST in this genre."
Miller,he's still the BEST,positive,"George Romero in the 70'-80's did the same with zombie movies, but failed to impress at old age, on contrary Miller still continue to impress, proofing he's still the BEST in this genre."
vehicles,outlandish vehicles,neutral,"I understand that some people may get adrenaline rush from seeing outlandish vehicles, I am not one of those."
Marvel action,a breath of 'fresh' air,positive,"Brilliant, raw, beautiful, brutal movie from beginning to end, and a breath of 'fresh' air from Marvel action."
cinematography,extremely astonishing,positive,the cinematography and effects are extremely astonishing...
effects,extremely astonishing,positive,the cinematography and effects are extremely astonishing...
