,Text,Intent
2728,please play the song that goes like america the beautiful,play_music
2729,please play the song that goes like this: jingle bells jingle bells jingle all the way,play_music
2730,can you play music by the beatles,play_music
2731,can you play the beatles,play_music
2732,are you able to play beatles songs,play_music
2733,can i hear the beatles,play_music
2734,do you have any of the beatles music,play_music
2735,can you play the song that starts with doo doo doo,play_music
2736,can i hear the song that starts out doo doo doo,play_music
2737,please play me the song that starts out with doo doo doo,play_music
2738,please play the song that goes doo doo doo,play_music
2739,can you play the song that goes doo doo doo,play_music
2740,"you can remove the field trip from my calendar for march 12, 2019",calendar_update
2741,"you can remove the wedding from my calendar for march 12, 2019",calendar_update
2742,"you can remove the play date from my calendar for feb 18, 2019",calendar_update
2743,"you can remove the dinner party from my calendar for january 21, 2019",calendar_update
2744,"you can remove the brithday party from my calendar fpr january 15, 2019",calendar_update
2745,put cancel abc on my calendar for next thursday,calendar_update
2746,i need to add iep meeting to my calendar on april 15th,calendar_update
2747,add my next doctor visit to my calendar,calendar_update
2748,add swimming to my calendar today,calendar_update
2749,i have an appointment on the 5th put it on for 5pm,calendar_update
2750,"for friday, add a doctor's appointment to my calendar",calendar_update
2751,can you add a doctor's appointment to friday's calendar,calendar_update
2752,add to my friday calendar a doctor's appointment,calendar_update
2753,add a doctor's appointment to my calendar for friday,calendar_update
2754,add to friday's calendar a doctor's appointment,calendar_update
2755,mark my calendar that i will be meeting steven on march 5,calendar_update
2756,"on the 22nd of this month, we need to clear our calendar so we can leave it open for mark to visit",calendar_update
2757,"can you remove that event from my calendar, please",calendar_update
2758,can you remove this event from my calendar,calendar_update
2759,"can you remove this event from my calendar, please",calendar_update
2760,are you secretly real,are_you_a_bot
2761,i would like to know if you are a robot,are_you_a_bot
2762,you could tell me if you were real,are_you_a_bot
2763,i would like to know if you are an artificial intelligence being,are_you_a_bot
2764,do you consider yourself an artificial intelligence being,are_you_a_bot
2765,can you act and think like a real person,are_you_a_bot
2766,could you be a real person,are_you_a_bot
2767,"clear something up, are you a robot",are_you_a_bot
2768,are you a human being or a computer,are_you_a_bot
2769,can you tell me if you are a real live person,are_you_a_bot
2770,am i speaking with a real person,are_you_a_bot
2771,are you an actual human,are_you_a_bot
2772,would you be classified as a bot,are_you_a_bot
2773,would it be accurate to call you a bot,are_you_a_bot
2774,would you say you are a bot,are_you_a_bot
2775,i am curious to know if you are a bot,are_you_a_bot
2776,are you an actual live person,are_you_a_bot
2777,please tell me if you are a bot,are_you_a_bot
2778,are you a robot,are_you_a_bot
2779,can you tell me what kind of life form you are,are_you_a_bot
2780,what is the gas level in my gas tank,gas
2781,is my gas tank full or empty,gas
2782,do i have enough gas to take me home,gas
2783,should i a gas refill for my car at the next gas station,gas
2784,can you inform me of my gas amount,gas
2785,calculate the amount of gas i currently have,gas
2786,how many gallons of gas are in my car,gas
2787,what amount of gas do i have left,gas
2788,how much gas does my car currently have,gas
2789,how much gas do i have,gas
2790,how much fuel do i have left,gas
2791,what's left in the tank,gas
2792,how much gas do i have left,gas
2793,how long before i'm on e,gas
2794,do i have enough fuel to get to buffalo,gas
2795,how much gas do i need to get to buffalo,gas
2796,do i have enough gas to get to buffalo,gas
2797,how much fuel do i need to get to buffalo,gas
2798,how much gas do you have will you make it to jackson,gas
2799,how much gas does it take to get to jackson,gas
2800,what is the date that my visa card expires,expiration_date
2801,tell me the expiration date on my visa credit card please,expiration_date
2802,tell me when my credit card from visa expires please,expiration_date
2803,do you know the expiration date that is on my visa card,expiration_date
2804,can you find the expiration date and tell me what it is that is on my visa credit card,expiration_date
2805,will i need to renew my credit card soon,expiration_date
2806,when will my visa expire,expiration_date
2807,will my debit card go bad any time soon,expiration_date
2808,what is my expiration data for my card,expiration_date
2809,when will my card go rotten,expiration_date
2810,will my card expire on a certain month,expiration_date
2811,when is my cards end month,expiration_date
2812,what month does my card stop working,expiration_date
2813,my card will work until what month,expiration_date
2814,what month does my card close,expiration_date
2815,when do i need a new credit card,expiration_date
2816,in what month does my credit card expire,expiration_date
2817,when is my credit card set to expire,expiration_date
2818,i need to know when my credit card is going to expire,expiration_date
2819,tell me when my credit card expires,expiration_date
2820,add this song to travel,update_playlist
2821,add song to media playlist,update_playlist
2822,add song to my hype playlist,update_playlist
2823,put song in springtime playlist,update_playlist
2824,put we are the champions to my running playlist,update_playlist
2825,put on bended knee on my reflection playlist,update_playlist
2826,please place this track on my driving mix,update_playlist
2827,please add this song to my morning job playlist,update_playlist
2828,i'd like to augment my workout playlist with this tune,update_playlist
2829,i'd like to add this song to my relaxation playlist,update_playlist
2830,add games without frontiers to my week 5 playlist,update_playlist
2831,i want to put thank you on my playlist called relaxing jams,update_playlist
2832,can you put the currently playing track on my zen playlist,update_playlist
2833,add welcome to the jungle to my workout mix,update_playlist
2834,i want you to add the song i listen to to my summer playlist,update_playlist
2835,add what i listen to to my car ride playlist,update_playlist
2836,please add what i listen to to my lolla playlist,update_playlist
2837,can you help me add the song i listen to to my clutch playlist,update_playlist
2838,add what i am listening to to my road trip playlist,update_playlist
2839,put this in my workout playlist,update_playlist
2840,i would like to cancel my reservation for nenuco's restaurant to x- tapas,cancel_reservation
2841,i need my reservation to be cancelled for nugget to xiomara's restaurant,cancel_reservation
2842,i need to cancel my reservation for new york to xai varanda,cancel_reservation
2843,i want to cancel my reservation for network to xaga such,cancel_reservation
2844,forget reservation at longhorn for 4,cancel_reservation
2845,forget reservation at oyster bar for tonight,cancel_reservation
2846,cancel my reservation at osteria for our party,cancel_reservation
2847,scrap reservation at 4 for red robin,cancel_reservation
2848,cancel reservation at eight for the group,cancel_reservation
2849,i'd like to cancel my reservation for 5 at hoss's steak house,cancel_reservation
2850,please cancel my reservation at red lobster for 6,cancel_reservation
2851,i need to cancel my reservation for 2 at franklin's grille,cancel_reservation
2852,cancel that reservation for 8 at barney's,cancel_reservation
2853,nix that reservation for 4 at strip house,cancel_reservation
2854,undo my reservation for 5 at the loft,cancel_reservation
2855,i no longer want my reservation for 5 at the loft cancel it please,cancel_reservation
2856,"hey siri, please cancel my reservation at the loft for 5",cancel_reservation
2857,i don't need my reservation for 5 at the loft please cancel it,cancel_reservation
2858,cancel my reservation for 5 at the loft,cancel_reservation
2859,carla doesn't want her olive garden reservation anymore,cancel_reservation
2860,what's the funniest thing you've got,tell_joke
2861,let me hear something funny,tell_joke
2862,i want to hear anything you have that's funny,tell_joke
2863,i want to hear something hilarious,tell_joke
2864,tell me your funniest joke,tell_joke
2865,do you have any funny jokes,tell_joke
2866,give me your best joke,tell_joke
2867,tell my something funny,tell_joke
2868,tell me something to make me laugh,tell_joke
2869,i'm in the mood for a joke,tell_joke
2870,could you tell me a good joke,tell_joke
2871,do you have any funny jokes you can tell,tell_joke
2872,have you heard any great jokes lately,tell_joke
2873,do you know any good jokes you would like to share,tell_joke
2874,what sort of jokes do you know,tell_joke
2875,i want to hear doctor jokes,tell_joke
2876,do you know any jokes about librarians,tell_joke
2877,tell me a funny joke about men,tell_joke
2878,can you tell me a joke about a lawyer,tell_joke
2879,i want to hear jokes about toddlers,tell_joke
2880,can i start calling you dave,change_ai_name
2881,i want to change your name to sarah,change_ai_name
2882,i want to call you maggie,change_ai_name
2883,can i change you name to gretchen,change_ai_name
2884,i'd like to call you alex,change_ai_name
2885,can i call you adam instead of the current name,change_ai_name
2886,i will now call you adam instead of your old name,change_ai_name
2887,will you respond to adam instead of the current name,change_ai_name
2888,i want to change your name to adam,change_ai_name
2889,i want to start calling you adam,change_ai_name
2890,i want your name to be gerry,change_ai_name
2891,i want your name to be henry,change_ai_name
2892,i want your name to be john,change_ai_name
2893,make your name jake,change_ai_name
2894,make your name steve,change_ai_name
2895,i would like to change your name to fred,change_ai_name
2896,i think i want your name changed to fred,change_ai_name
2897,can you have your name changed to fred,change_ai_name
2898,can you change your name to fred,change_ai_name
2899,change your name to fred,change_ai_name
2900,what is your age again,how_old_are_you
2901,how old are you in 2019,how_old_are_you
2902,what's your birthday,how_old_are_you
2903,were you born in the 80s,how_old_are_you
2904,how old were you on your most recent birthday,how_old_are_you
2905,what day were you born,how_old_are_you
2906,what is your current age,how_old_are_you
2907,how old are you as of today,how_old_are_you
2908,what you age on your last birthday,how_old_are_you
2909,how many birthdays have you had,how_old_are_you
2910,how many years have you been living,how_old_are_you
2911,hey how old are you,how_old_are_you
2912,do you have an age,how_old_are_you
2913,i was wondering what age you are,how_old_are_you
2914,in what year were you born,how_old_are_you
2915,what is your date of birth,how_old_are_you
2916,what year were you born in,how_old_are_you
2917,what is the year that were you born,how_old_are_you
2918,how old are you ai,how_old_are_you
2919,are you 16 years old,how_old_are_you
2920,i need a car rental this week,car_rental
2921,i am going away and need to rent a car,car_rental
2922,help me find a car to rent,car_rental
2923,"can you get me a car rental for march 1st to 3rd in seattle, and i'd like a sedan if possible",car_rental
2924,help me book a car rental in austin for april 11th to 13th get me a sedan if possible,car_rental
2925,"can you get me a car rental for march 13th to 15th in nyc, and i'd like a convertible if possible",car_rental
2926,help me book a car rental in chicago for april 1st to 3rd get me an suv if possible,car_rental
2927,i need to book a car rental in las vegas,car_rental
2928,i'm looking for assistance booking a rental car in las vegas,car_rental
2929,could i get assistance booking a car rental in las vegas,car_rental
2930,how can i rent a car in las vegas,car_rental
2931,can you help me rent a car in las vegas,car_rental
2932,can i get a car rental in boise from april 11th to april 13th,car_rental
2933,how can i rent a ride in alaska from march 5th to march 18th,car_rental
2934,where do i rent a car in las vegas from november 16th to december 16th,car_rental
2935,can i rent a car from dfw airport from march 1st to march 8th,car_rental
2936,do you have a car rental in new york from june 6th to june 9th,car_rental
2937,i must procure a car rental for the 10th to the 15th in zimbabwe and i would prefer a bmw,car_rental
2938,i really must rent a car out of sky harbor airport from the 3rd to the 5th of february,car_rental
2939,i really need to get a volkswagen car rental for march 5th to march 8th in phoenix,car_rental
2940,how can i jump start my car if my battery is dead,jump_start
2941,will a jump start work if my batter is dead,jump_start
2942,how to jump start a car,jump_start
2943,what do i need to jump start a battery,jump_start
2944,how do i jump start a bad battery,jump_start
2945,what steps do i need to take to jump start my car,jump_start
2946,i'm not sure how to jump start a car; can you help me,jump_start
2947,how do i do a jump start on my car,jump_start
2948,how might i go about jump starting a car,jump_start
2949,how can i jump start a car,jump_start
2950,can you tell me how to jump start a car,jump_start
2951,how can i jump start my car,jump_start
2952,show me instructions on how to jump start my car,jump_start
2953,teach me how to jump start my car,jump_start
2954,what do i need in order to jump start my car,jump_start
2955,do i need jumper cables for my dead car battery,jump_start
2956,who can jump off my dead car battery,jump_start
2957,my car battery died and i need help,jump_start
2958,can i get my car jumped for this dead battery,jump_start
2959,there is no juice in my battery please help,jump_start
2960,can you give me a chinese meal suggestion,meal_suggestion
2961,i would like you to suggest a chinese dish,meal_suggestion
2962,please suggest a chinese meal,meal_suggestion
2963,i would like you to give me a suggestion for a mexican meal,meal_suggestion
2964,can you suggest a mexican dish,meal_suggestion
2965,i need some good suggestions for peruvian cuisine,meal_suggestion
2966,help me find some new dinner recipes,meal_suggestion
2967,what would you say is a good german dinner idea,meal_suggestion
2968,i need an italian dinner idea,meal_suggestion
2969,any recommendations for a greek dinner,meal_suggestion
2970,what would you say is the best meal to have for dinner,meal_suggestion
2971,i am bored and need new dinner recommendations,meal_suggestion
2972,i need an idea for a french dinner,meal_suggestion
2973,whats a good chinese dinner suggestion,meal_suggestion
2974,what would you suggest having for dinner,meal_suggestion
2975,i need to quick dinner suggestions,meal_suggestion
2976,what kind of meal should i eat from thailand,meal_suggestion
2977,suggest a meal from thailand please,meal_suggestion
2978,suggestions for thai food,meal_suggestion
2979,give recommendations for thai food,meal_suggestion
2980,i would like to learn to make cookies,recipe
2981,show me popular sushi recipes,recipe
2982,i need a pancake recipe,recipe
2983,find instructions on baking lemon cake,recipe
2984,can you give me instructions on how to make alfredo,recipe
2985,how do i make shrimp,recipe
2986,what is a good recipe for steak,recipe
2987,find a recipe for hamburgers,recipe
2988,pull up ramen recipes please,recipe
2989,how do you make dumplings,recipe
2990,how do you make blue cheese dressing,recipe
2991,i need a recipe for chicken cordon bleu,recipe
2992,recipe for traditional roast beef and gravy,recipe
2993,i want to make pork barbque but do no know how,recipe
2994,give me a good recipe for chicken parmesan,recipe
2995,do you have any good ways to make tomato soup,recipe
2996,how do i make chicken alfredo,recipe
2997,recipe for beef stroganoff,recipe
2998,i need to find a good way to make chicken soup,recipe
2999,tell me how to make ramen,recipe
3000,what's my income before taxes,income
3001,what's my income from work,income
3002,how much money do i make at my job,income
3003,was is my salary,income
3004,what's my yearly income,income
3005,what was my income last year,income
3006,what's my total income,income
3007,what's my total earnings,income
3008,what's my work salary,income
3009,do you know my work income,income
3010,how much money do i make a week,income
3011,how much do i make in a year,income
3012,what do i get paid,income
3013,how much is my salary,income
3014,i would like to know what my income is,income
3015,tell me my income amount,income
3016,i need to know the amount of my income,income
3017,get my income amount for me,income
3018,how much do you start at,income
3019,yearly salary,income
3020,order more bread please,order
3021,"i ran out of bread, order more",order
3022,"since i ran out , order more bread",order
3023,place an order for bread,order
3024,make an order of bread because i am out,order
3025,order an amazon gift card from amazon in the amount of twenty dollars,order
3026,order a case of coke from amazon,order
3027,order dog food from walmart,order
3028,order more paper towels from amazon,order
3029,order a disney gift card in the amount of five hundred dollars from costco,order
3030,i want to buy an iphone7,order
3031,can you order an iphone7 for me with two-day free delivery,order
3032,help me buy a black iphone7,order
3033,please order an iphone7 for me,order
3034,everything needs ordered off my list,order
3035,"for the shopping list, order everything",order
3036,order all of my shopping list,order
3037,order all items on the list,order
3038,purchase me the kyrie 4s,order
3039,aquire me them kyrie 4s,order
3040,is there much traffic between here and work right now,traffic
3041,what's the traffic like right now for my route to work,traffic
3042,is the traffic bad going downtown right now,traffic
3043,how's the traffic this morning,traffic
3044,how bad is the traffic on the way to downtown,traffic
3045,what's the traffic like going to central park,traffic
3046,is there heavy traffic on the way to the city,traffic
3047,how bad is traffic on the way into oakville right now,traffic
3048,how does the traffic look on my way to work right now,traffic
3049,what does my commute look like,traffic
3050,what is the traffic like on the road to downtown dallas,traffic
3051,what kind of traffic is on hwy 1 going to the downtown area right now,traffic
3052,"how is the traffic on rt 5 towards my work , community bank",traffic
3053,"is there any traffic on the road i take home from work right now, rt 40",traffic
3054,tell me how the traffic is on rt 7 to the airport today,traffic
3055,what will the traffic be like if i headed out to work right now,traffic
3056,what kind of traffic can i expect on the way to church,traffic
3057,how's the traffic to work,traffic
3058,can you give me a traffic update for a trip to the grocery store,traffic
3059,how's the traffic looking if i headed to fred meyer,traffic
3060,i need more checks because i am out,order_checks
3061,can i order new checks since i am out,order_checks
3062,"i am now out of checks, how do i order new ones",order_checks
3063,i need to order new checks because i am all out,order_checks
3064,i have no checks and need to order new checks,order_checks
3065,put in an order for more checks,order_checks
3066,how do i order more free checkbooks,order_checks
3067,i ran out of checks and need more ordered,order_checks
3068,please order more checks i just used the last one,order_checks
3069,i just used my last check and need more now,order_checks
3070,i ran out of checks and need more asap,order_checks
3071,i would like more checks sent to my address,order_checks
3072,how would i go about getting more checks for my western union account,order_checks
3073,i just used my final check order more,order_checks
3074,can i order checks online for my checking account,order_checks
3075,please send me more checkbooks,order_checks
3076,please notify my bank that i need more checks,order_checks
3077,how can i order checks for my savings account,order_checks
3078,i need to know how to order checks for my bank of america account,order_checks
3079,who do i contact to order more checks for my td bank account,order_checks
3080,is there a reason my card was declined,card_declined
3081,my card was rejected at shakey's and i am wondering why,card_declined
3082,was there a problem with my card yesterday,card_declined
3083,my debit card was rejected at ella's and i want to know why,card_declined
3084,my card was declined at mcdonald's and i want to know why,card_declined
3085,i need to know why you declined my card yesterday,card_declined
3086,"my card was rejected at the zoo, could you tell me why",card_declined
3087,tell me why my card was declined,card_declined
3088,"tell me why my card was declined at auto zone, why",card_declined
3089,i need to know why my credit card transaction was declined,card_declined
3090,why was my credit card not accepted,card_declined
3091,i was in target about to buy a chair when my card got declined,card_declined
3092,my card just got declined when i was in home depot buying tile,card_declined
3093,i was trying to buy a chainsaw at the tractor store and they said my card was declined,card_declined
3094,why was my card declined just now when i tried to buy a jeep at carmax,card_declined
3095,i was at walmart trying to buy toilet paper and my card got declined,card_declined
3096,target declined my card and i don't know why,card_declined
3097,do you know why my card was declined at target i can't figure out why,card_declined
3098,i can't figure out why my card was declined at target,card_declined
3099,i was just at target and they declined my card and i can't understand why,card_declined
3100,what expression would i use to say i love you if i were an italian,translate
3101,"can you tell me how to say 'i do not speak much spanish', in spanish",translate
3102,"what is the equivalent of, 'life is good' in french",translate
3103,"tell me how to say, 'it is a beautiful morning' in italian",translate
3104,"if i were mongolian, how would i say that i am a tourist",translate
3105,how do i say 'hotel' in finnish,translate
3106,"i need you to translate the sentence, 'we will be there soon' into portuguese",translate
3107,please tell me how to ask for a taxi in french,translate
3108,"can you tell me how i would say, 'more bread please' in french",translate
3109,what is the correct way to say 'i am a visitor' in french,translate
3110,"how would i say, 'i don't know the answer' in spanish",translate
3111,i would like to know the proper way to greet an adult in portuguese,translate
3112,what words would i use to tell someone i am lost if i were japanese,translate
3113,how would i say thank you if i were russian,translate
3114,can you tell me how i would normally say thank you as a french person,translate
3115,i would like to know how to say hello in french,translate
3116,if i were english how would i say subway,translate
3117,i would i say subway if i were english,translate
3118,how do you say hi in french,translate
3119,in england how do they say subway,translate
3120,translate hello in french,translate
3121,how is hello said in french,translate
3122,what do you call a subway if you were english,translate
3123,how would i say if i were english subway,translate
3124,how should i say hello in french,translate
3125,how could i say twin in chinese,translate
3126,how can i say not now in spanish,translate
3127,what do spanish people say for the word cow,translate
3128,translate hello to english,translate
3129,how do you say goodbye in spanish,translate
3130,how would i say love in french,translate
3131,could you translate atm machine into english,translate
3132,please translate grocery into french for me,translate
3133,how do germans say goodnight,translate
3134,tell me how the russians say notebook,translate
3135,how do vietnameses people say hello,translate
3136,how do i say thank you in japanese,translate
3137,what is latin for i love you,translate
3138,how can i thank somebody in italian,translate
3139,how do i say you're welcome in chinese,translate
3140,translate hello english to french,translate
3141,what is hello in french,translate
3142,what phrase means goodbye in hawaii,translate
3143,what spanish word means hello,translate
3144,translate hello to french,translate
3145,translate english to french hello,translate
3146,what is the word for hello spanish,translate
3147,how do they say goodbye in hawaii,translate
3148,what's local slang for goodbye in hawaii,translate
3149,how do you say hello in french,translate
3150,tell me how to say hello in spanish,translate
3151,what do i say for goodbye in hawaii,translate
3152,translate hello into french for me,translate
3153,how do i say hello in french,translate
3154,translate for me hello into french,translate
3155,how would they say say goodbye in hawaii,translate
3156,what is spanish for hello,translate
3157,how would i say hello in french,translate
3158,how can i say i love you in italy,translate
3159,what is spanish for good morning,translate
3160,how do you say it's snowing in german,translate
3161,how would you say can i borrow five dollars in portuguese,translate
3162,do you know how to say where is the restroom in french,translate
3163,how would i say pleased to meet you if i were japanese,translate
3164,can you translate hello into swedish for me,translate
3165,can you translate i love you into french for me,translate
3166,can you translate where's the bar into irish for me,translate
3167,how would i say goodbye if i were norwegian,translate
3168,how would i say i love you if i were french,translate
3169,how would i say hello if i were swedish,translate
3170,can you translate good bye into russian for me,translate
3171,can you translate i have to go pee into korean for me,translate
3172,how would i say i'm not guilty if i were mexican,translate
3173,how do you say thank you in spanish,translate
3174,how does one say thank you in spanish,translate
3175,how can i say thank you in spanish,translate
3176,what is thank you in spanish,translate
3177,what is the way to say thank you in spanish,translate
3178,"how do they say ""who is your father"" in german",translate
3179,"how do they say ""where's the bathroom"" in spanish",translate
3180,"how do they say ""how's it going"" in swahili",translate
3181,"how do they say ""i love you"" in japanese",translate
3182,"how do they say ""what's up"" in chinese",translate
3183,how do you say thank you in german,translate
3184,how do you say please in arabic,translate
3185,how do you say cat in spanish,translate
3186,how do you say i'm hungry in french,translate
3187,how do you say i need coffee in dutch,translate
3188,how do they say yes in brazil,translate
3189,can you translate cat into russian for me,translate
3190,can you translate bowl into russian for me,translate
3191,how do they say hello in france,translate
3192,i wanna know a phrase in spanish,translate
3193,can you translate bat into russian for me,translate
3194,how do they say no in germany,translate
3195,can you translate hi into spanish for me,translate
3196,i wanna learn a phrase in russian,translate
3197,how do they say hello in germany,translate
3198,can you translate milk into spanish for me,translate
3199,how do they say hello in brazil,translate
3200,i need $20000 transferred from my savings to my checking,transfer
3201,complete a transaction from savings to checking of $20000,transfer
3202,transfer $20000 from my savings account to checking account,transfer
3203,take $20000 from savings and put it in checking,transfer
3204,put $20000 into my checking account from my savings account,transfer
3205,send 100 dollars between bank of the west and bank of america acccounts,transfer
3206,send 50 dollars between bank of america and chase accounts,transfer
3207,send 2000 dollars between chase and rabobank accounts,transfer
3208,send 1200 dollars between usaa and navy federal accounts,transfer
3209,send 400 dollars between city bank and usaa accounts,transfer
3210,take $40 and transfer it to account a from b,transfer
3211,transfer $40 from account a to b,transfer
3212,move $40 from account b to account a,transfer
3213,put $40 from account a to b,transfer
3214,take $40 from account a and transfer it to account b,transfer
3215,i need to transfer from this account to that one,transfer
3216,need to transfer from one account to my other one,transfer
3217,i would like to transfer from one account to my second one,transfer
3218,i need to transfer from one account to my second one,transfer
3219,i have to transfer from one account to my other one,transfer
3220,send fifty dollars from me to carrie,transfer
3221,transfer sixty dollars to dad from my biggest accnt,transfer
3222,send over a hundred dollars from huntington into saving,transfer
3223,move 57 dollars from saving into mom,transfer
3224,transfer two hundred dollars between my portfolio and my money market account,transfer
3225,i need to transfer ten dollars from my bank of america account to my capital one account,transfer
3226,go ahead and send ten dollars from bank of america to capital one,transfer
3227,i must transfer ten dollars from my bank of america account to my capital one account,transfer
3228,i got to transfer ten dollars from my bank of america account to my capital one account,transfer
3229,i want you to send ten dollars from bank of america to capital one,transfer
3230,i need you to send ten dollars from bank of america to capital one,transfer
3231,i have to transfer ten dollars from my bank of america account to my capital one account,transfer
3232,send ten dollars from bank of america to capital one,transfer
3233,please send ten dollars from bank of america to capital one,transfer
3234,make a transfer of $200 from my savings account to my checking account,transfer
3235,please transfer $250 from checking to savings,transfer
3236,transfer $500 from my checking to my savings,transfer
3237,please transfer $100 from my checking to my savings account,transfer
3238,transfer $500 from my money market savings account to my checking account,transfer
3239,send money from one account to another,transfer
3240,transfer 200 dollars from paypal to savings,transfer
3241,transfer $10 from checking to savings,transfer
3242,send $100 from paypal to my bank,transfer
3243,please transfer 100 dollars between my amazon payments and savings accounts,transfer
3244,i would like to make a transfer,transfer
3245,i want to transfer funds between accounts,transfer
3246,send over 50 dollars between my shared and not shared accounts,transfer
3247,whats the quickest way to money from one account to another,transfer
3248,what is the process to move money from one account to another,transfer
3249,i need you to send 500 dollars from my high tier account to my regular checking account,transfer
3250,can you transfer money from a to b,transfer
3251,send my money between accounts,transfer
3252,how can i send money from one account to another,transfer
3253,i need to move money from one account to another,transfer
3254,send $20 from debit to steve's account,transfer
3255,send 20 dollars from savings to checking,transfer
3256,please transfer my funds,transfer
3257,please transfer $50 to my checking account from credit,transfer
3258,go ahead and move $200 from amazon to my bank account,transfer
3259,help me move my money,transfer
3260,i need my money to be moved,transfer
3261,help me move my money please,transfer
3262,i need to move my money,transfer
3263,move my money please,transfer
3264,i would like to transfer $5 from savings to checking,transfer
3265,transfer $5 from savings to checking,transfer
3266,can you transfer $5 from savings to checking,transfer
3267,send $5 from savings to checking,transfer
3268,please transfer $5 from savings to checking,transfer
3269,please switch $s checking to mortage,transfer
3270,please transfer $s from saving to checking,transfer
3271,could you transfer $x from saving to checking,transfer
3272,help me transfer $x from credit to debit,transfer
3273,please transfer $x from checking to saving,transfer
3274,transfer money to another account,transfer
3275,requesting money transfer between accounts,transfer
3276,transfer money from this account to that account,transfer
3277,can you transfer money from my account,transfer
3278,money transfer request,transfer
3279,send 100 dollars from checking to savings,transfer
3280,transfer 100 dollars checking to savings,transfer
3281,transfer 100 dollars between checking and savings,transfer
3282,take 100 dollars from checking and send it to savings,transfer
3283,move 100 dollars from checking to savings,transfer
3284,can we wire some money over to the other account i have,transfer
3285,time to move some cash from one account to another,transfer
3286,i need to throw some money into that other account,transfer
3287,let's send some money to another account,transfer
3288,i want to initiate a transfer from one account to the other,transfer
3289,transfer money from one place to another,transfer
3290,move money from one account to another,transfer
3291,transfer between two accounts,transfer
3292,make a transfer between accounts,transfer
3293,send money to another account,transfer
3294,i need ten dollars sent from b of a to washington mutual,transfer
3295,transfer fifty dollars between my chase and bank of america account,transfer
3296,deposit ten bucks from my chase account to my ally account,transfer
3297,put a hundred dollars in my ally account from bluebird,transfer
3298,i want seventy bucks transferred from b of a to chase,transfer
3299,can i initiate a one-time transfer from my savings account to my money market account,transfer
3300,please set a 4 minute timer,timer
3301,please set a timer for 6 minutes,timer
3302,set a timer for 5 minutes,timer
3303,i need a 7 minute timer,timer
3304,i need to set the timer for two minutes,timer
3305,can you set a timer for me for fifteen minutes starting now,timer
3306,start the timer now and stop at thirty minutes,timer
3307,i would like you to set the timer to go off in ten minutes,timer
3308,please set a timer for 40 minutes,timer
3309,wake me in an hour,timer
3310,please set a timer for cookies,timer
3311,i want a timer set,timer
3312,remind me in (x) hours,timer
3313,set timer for (x) minutes,timer
3314,i gotta have a 10 minute timer,timer
3315,please set a timer for me,timer
3316,i need a 10 minute timer,timer
3317,i wish to have a 10 minute timer,timer
3318,i really need to set a timer,timer
3319,set a new timer for ten seconds,timer
3320,set a timer for me,timer
3321,i want a 10 minute timer,timer
3322,i gotta set a timer,timer
3323,set a 10 minute timer,timer
3324,set a brand new timer for eight seconds,timer
3325,set a ten second timer,timer
3326,i must set a timer,timer
3327,set a timer for twelve seconds,timer
3328,set a timer for fifteen seconds,timer
3329,tell me when two minutes are up,timer
3330,start a timer for two minutes,timer
3331,set a timer for two minutes,timer
3332,start counting down from two minutes,timer
3333,can you set a timer for two minutes,timer
3334,"""please set 5 minute timer",timer
3335,can u please set the timer for 5 minutes,timer
3336,set timer of 5 minutes,timer
3337,"""can u set a timer for 5 minutes",timer
3338,set a one hour timer,timer
3339,please set a timer for 20 minutes,timer
3340,set a five minute timer please,timer
3341,set a timer for two hours,timer
3342,can you set a two hour timer,timer
3343,set the timer for me please,timer
3344,you need to set the timer for me,timer
3345,i need you to set timer for me,timer
3346,please set the timer for me,timer
3347,i would like a timer set,timer
3348,can you set a timer,timer
3349,i need you to set a time,timer
3350,i need a timer set for 15 minutes,timer
3351,start a countdown for 20 minutes,timer
3352,set a timer for 15 minutes,timer
3353,i'll need you to set a timer for 10 minutes,timer
3354,let's get a timer set for 5 minutes,timer
3355,set a timer for 35 minutes,timer
3356,please start counting down from 10 minutes,timer
3357,let's get a timer going for 10 minutes,timer
3358,i need a timer for 20 seconds,timer
3359,timer 5 minutes,timer
3360,alert me in 20 minutes,timer
3361,give me a 10 minute countdown,timer
3362,let me know in 15 minutes please,timer
3363,"i'm cooking an egg, timer for 3 mins",timer
3364,10 minute timer,timer
3365,start a timer for 10 minutes,timer
3366,timer 10 minutes,timer
3367,count down 10 minutes,timer
3368,make up a timer for me,timer
3369,create a timer for me,timer
3370,can you set a timer for me,timer
3371,i need to set a timer,timer
3372,set up a timer,timer
3373,could you start a timer for me,timer
3374,lets set a timer for me,timer
3375,please run a timer for me,timer
3376,set a one minute timer,timer
3377,set a five minute timer,timer
3378,set a seven minute timer,timer
3379,start a timer for me,timer
3380,set a four minute timer,timer
3381,set a six minute timer,timer
3382,how do i set a timer,timer
3383,i want a timer for 5 minutes,timer
3384,timer for 5 minutes,timer
3385,set a timer to go off in 5 minutes,timer
3386,set timer for 5 minutes,timer
3387,i want to set a timer,timer
3388,make a timer for 5 minutes,timer
3389,please set a timer for,timer
3390,remind me that time is up in sixty minutes,timer
3391,set an alarm for nine minutes from now,timer
3392,tell me when ninety minutes have passed,timer
3393,please set timer for 4 pm,timer
3394,want 5 minute timer,timer
3395,set 30 minute timer,timer
3396,get a 3 minute timer,timer
3397,"please, can you set the timer for me",timer
3398,can you please the timer,timer
